Zip Code,Population,Poulation Below Poverty Line,Population Below Poverty Line past 12 months,Poverty Percentage
01731,2012.0,513.0,6.0,0.25497017892644136
01740,5167.0,1387.0,19.0,0.2684342945616412
01741,5160.0,1475.0,9.0,0.2858527131782946
01770,4302.0,1272.0,49.0,0.29567642956764295
01773,4791.0,1408.0,40.0,0.2938843665205594
01775,7061.0,2102.0,40.0,0.29769154510692536
01821,32348.0,8941.0,222.0,0.2764003956967973
01843,25942.0,6124.0,1067.0,0.2360650682291265
01863,9106.0,2360.0,69.0,0.2591697781682407
01864,15598.0,4193.0,91.0,0.26881651493781256
01876,30433.0,7957.0,326.0,0.26145959977655836
01880,26450.0,7173.0,126.0,0.27119092627599245
01906,28037.0,7258.0,451.0,0.258872204586796
01923,27391.0,7087.0,279.0,0.2587346208608667
01929,3687.0,999.0,37.0,0.2709519934906428
01940,13425.0,3652.0,66.0,0.2720297951582868
01028,16156.0,4109.0,141.0,0.25433275563258234
01033,6300.0,1759.0,55.0,0.2792063492063492
01037,772.0,167.0,0.0,0.21632124352331605
01005,5014.0,1098.0,30.0,0.21898683685680095
01027,17870.0,4576.0,223.0,0.25607162842753217
01038,2897.0,873.0,18.0,0.30134622022782187
01054,1997.0,598.0,16.0,0.29944917376064095
01084,183.0,61.0,0.0,0.3333333333333333
01092,1133.0,292.0,26.0,0.25772285966460723
01103,2409.0,423.0,239.0,0.17559153175591533
01107,11304.0,2635.0,965.0,0.2331033262561925
01119,13236.0,3155.0,414.0,0.23836506497431248
01236,1197.0,301.0,0.0,0.25146198830409355
01082,10637.0,2871.0,327.0,0.26990692864529475
01085,41652.0,10189.0,555.0,0.24462210698165754
01088,399.0,82.0,0.0,0.20551378446115287
01104,23635.0,5702.0,1426.0,0.24125237994499682
01106,16048.0,4508.0,133.0,0.2809072781655035
01226,6839.0,1872.0,112.0,0.27372422868840474
01255,859.0,221.0,4.0,0.2572759022118743
01258,357.0,90.0,8.0,0.25210084033613445
01301,17715.0,4138.0,354.0,0.23358735534857467
01339,1472.0,431.0,30.0,0.29279891304347827
01370,4032.0,1022.0,75.0,0.2534722222222222
01375,3662.0,767.0,27.0,0.20944838885854725
01452,4581.0,1266.0,26.0,0.27635887360838246
01464,7572.0,1686.0,152.0,0.22266244057052298
01474,1964.0,502.0,10.0,0.2556008146639511
01501,16412.0,4326.0,77.0,0.26358761881550086
01503,3098.0,872.0,13.0,0.2814719173660426
01504,9201.0,2489.0,57.0,0.27051407455711335
01510,13855.0,3476.0,114.0,0.25088415734391917
01003,11131.0,5.0,0.0,0.00044919593926870903
01245,803.0,228.0,14.0,0.28393524283935245
01254,977.0,322.0,9.0,0.3295803480040942
01262,1110.0,241.0,10.0,0.21711711711711712
01338,170.0,55.0,11.0,0.3235294117647059
01368,1316.0,369.0,17.0,0.2803951367781155
01453,41446.0,10527.0,1179.0,0.2539931477102736
01460,9754.0,2639.0,64.0,0.27055566946893583
01462,11150.0,2992.0,165.0,0.2683408071748879
01475,10738.0,2811.0,270.0,0.26178059228906686
01519,6657.0,1838.0,61.0,0.2761003455009764
01532,14918.0,4144.0,115.0,0.2777852259015954
01534,6262.0,1716.0,113.0,0.27403385499840305
01535,4760.0,1242.0,58.0,0.2609243697478992
01585,4661.0,1293.0,29.0,0.27740828148465996
01050,2334.0,624.0,25.0,0.26735218508997427
01108,28925.0,6742.0,1860.0,0.23308556611927397
01128,2798.0,796.0,7.0,0.28448892065761255
01235,2671.0,754.0,48.0,0.2822912766754025
01001,17537.0,4050.0,258.0,0.23094029765638366
01026,958.0,264.0,0.0,0.2755741127348643
02638,3011.0,1001.0,89.0,0.33244769179674527
02035,17448.0,4550.0,118.0,0.26077487391105
02333,14301.0,3547.0,124.0,0.2480246136633802
02666,638.0,211.0,32.0,0.33072100313479624
02763,1933.0,481.0,0.0,0.2488360062079669
02339,14328.0,3804.0,81.0,0.26549413735343386
02464,3155.0,789.0,15.0,0.25007923930269416
02633,4055.0,1209.0,86.0,0.29815043156596793
02703,44326.0,11540.0,823.0,0.2603438162703605
02631,9736.0,2827.0,97.0,0.29036565324568614
02745,24294.0,6436.0,635.0,0.26492137976455093
02360,58500.0,16044.0,799.0,0.27425641025641023
02375,9938.0,2728.0,98.0,0.27450191185349165
02047,65.0,14.0,0.0,0.2153846153846154
02203,27.0,0.0,0.0,0.0
02357,1178.0,0.0,0.0,0.0
02457,1680.0,0.0,0.0,0.0
02553,35.0,0.0,0.0,0.0
02557,4675.0,1009.0,88.0,0.21582887700534759
02561,325.0,70.0,36.0,0.2153846153846154
02562,3008.0,787.0,25.0,0.26163563829787234
02564,312.0,73.0,0.0,0.23397435897435898
